pressure,weather_conditions,wind_speed,humidity,temperature,wind_direction
1024.0,0,3.0,64.0,272.52,350.0
1024.0,0,2.0,64.0,272.38,0.0
1025.0,0,3.0,61.0,281.99,10.0
1025.0,0,3.0,57.0,283.97,80.0
1024.0,0,3.0,50.0,285.29,100.0
1023.0,0,2.0,54.0,285.88,0.0
1023.0,0,1.0,47.0,286.36,100.0
1022.0,0,0.0,47.0,286.21,0.0
1022.0,0,0.0,50.0,284.82,0.0
1022.0,0,0.0,57.0,282.64,0.0
1022.0,0,0.0,70.0,280.27,0.0
1022.0,0,0.0,70.0,278.11,0.0
1022.0,0,0.0,81.0,277.0,0.0
1022.0,0,1.0,86.0,276.01,140.0
1012.0,0,3.0,44.0,287.08,170.0
1011.0,0,3.0,47.0,287.24,200.0
1009.0,0,3.0,50.0,286.29,170.0
1008.0,0,4.0,54.0,285.04,170.0
1015.0,0,4.0,55.0,273.32,230.0
1015.0,0,3.0,51.0,272.32,220.0
1016.0,0,3.0,55.0,271.71,200.0
1016.0,0,2.0,69.0,271.3,200.0
1016.0,0,2.0,69.0,270.68,190.0
1021.0,0,3.0,45.0,281.2,290.0
1020.0,0,4.0,42.0,281.85,290.0
1020.0,0,3.0,37.0,281.94,310.0
1020.0,0,3.0,37.0,281.71,250.0
1021.0,0,2.0,36.0,280.09,270.0
1024.0,0,1.0,44.0,274.31,270.0
1024.0,0,0.0,51.0,273.19,0.0
1024.0,0,2.0,64.0,276.83,310.0
1026.0,0,2.0,48.0,273.23,310.0
1026.0,0,2.0,48.0,272.25,0.0
1026.0,0,3.0,59.0,271.63,250.0
1027.0,0,4.0,69.0,271.19,260.0
1020.0,0,2.0,33.0,273.22,274.0
1013.0,0,3.0,67.0,275.78,280.0
1013.0,0,3.0,67.0,275.78,280.0
1013.0,0,3.0,81.0,271.1,287.0
1013.0,0,3.0,81.0,271.1,287.0
1013.0,0,3.0,81.0,271.1,287.0
1013.0,0,3.0,81.0,271.1,287.0
1013.0,0,3.0,81.0,271.1,287.0
1013.0,0,3.0,81.0,271.1,287.0
1013.0,0,4.0,63.0,276.27,263.0
1013.0,0,4.0,63.0,276.27,263.0
1013.0,0,4.0,63.0,276.27,263.0
1013.0,0,4.0,63.0,276.27,263.0
1013.0,0,4.0,63.0,276.27,263.0
1020.0,0,4.0,51.0,278.105,251.0
1027.0,0,5.0,36.0,279.8,240.0
1028.0,0,4.0,36.0,278.79,260.0
1027.0,0,4.0,41.0,276.82,260.0
1028.0,0,3.0,52.0,275.37,230.0
1028.0,0,4.0,52.0,274.33,230.0
1028.0,0,4.0,60.0,273.36,230.0
1028.0,0,1.0,64.0,272.53,220.0
1028.0,0,3.0,64.0,272.15,230.0
1028.0,0,2.0,69.0,272.1,200.0
1028.0,0,2.0,69.0,271.6,200.0
1019.0,0,4.0,53.0,283.89,320.0
1027.0,0,3.0,50.0,272.14,350.0
1027.0,0,0.0,68.0,270.3,0.0
1013.0,0,1.0,92.0,279.23,195.0
1013.0,0,1.0,92.0,279.23,195.0
1013.0,0,1.0,92.0,279.23,195.0
1013.0,0,1.0,92.0,279.23,195.0
1013.0,0,1.0,92.0,279.23,195.0
1013.0,0,2.0,90.0,283.48,261.0
1013.0,0,2.0,90.0,283.48,261.0
1013.0,0,2.0,90.0,283.48,261.0
1013.0,0,2.0,90.0,283.48,261.0
1013.0,0,2.0,90.0,283.48,261.0
1013.0,0,2.0,90.0,283.48,261.0
1013.0,0,2.0,89.0,284.5,248.0
1013.0,0,2.0,89.0,284.5,248.0
1013.0,0,2.0,33.0,280.99,307.0
1029.0,0,0.0,74.0,275.25,0.0
1030.0,0,3.0,36.0,280.51,90.0
1030.0,0,2.0,34.0,280.82,0.0
1029.0,0,2.0,36.0,280.68,90.0
1029.0,0,1.0,39.0,279.11,110.0
1029.0,0,0.0,41.0,276.79,0.0
1029.0,0,0.0,56.0,274.89,0.0
1029.0,0,0.0,41.0,273.99,0.0
1029.0,0,1.0,51.0,273.36,210.0
1028.0,0,0.0,74.0,272.65,0.0
1028.0,0,1.0,69.0,271.83,180.0
1028.0,0,1.0,69.0,271.46,190.0
